bibNumber,title,deweyClass
3796431,"Journeying through the invisible the craft of healing with and beyond sacred plants as told by a Peruvian medicine man",299.895
2251761,"When I see the wild god encountering urban Celtic witchcraft",299.94
2270387,"Wicca for one the path of solitary witchcraft",299.94
2490251,"Crafting wiccan traditions creating a foundation for your spiritual beliefs practices",299.94
2747471,"Old world witchcraft ancient ways for modern days",299.94
2839337,"Ecstatic witchcraft magick philosophy trance in the shamanic craft",299.94
2994786,"Bucklands complete book of witchcraft",299.94
3081046,"Wicca Bible the definitive guide to magic and the craft",299.94
3191549,"Wicca history belief and community in modern pagan witchcraft",299.94
3245032,"By land sky sea three realms of shamanic witchcraft",299.94
3292720,"modern witchcraft guide to the wheel of the year from Samhain to Yule your guide to the Wiccan holidays",299.94
3429758,"Witchcraft activism a toolkit for magical resistance",299.94
3668216,"Rebel witch carve the craft thats yours alone",299.94
144832,"Cult and countercult a study of a spiritual growth group and a witchcraft order",301.22
1849524,"Crafting selves power gender and discourses of identity in a Japanese workplace",305.42095
3688205,"This long thread women of color on craft community and connection",305.48809
2866130,"Racecraft the soul of inequality in American life",305.80097
3346482,"Racecraft the soul of inequality in American life",305.80097
2139289,"We Japanese the customs manners ceremonies festivals arts and crafts of Japan besides numerous other subjects",306.0952
2359021,"5000 miles to freedom Ellen and William Crafts flight from slavery",306.36209
3311424,"CrÃƒÂ¦ft an inquiry into the origins and true meaning of traditional crafts",306.46094
2218602,"Witchcraft medicine healing arts shamanic practices and forbidden plants",306.461
3081074,"anthropology of religion magic and witchcraft",306.6
3458084,"Mama mama only mama an irreverent guide for the newly single parent from divorce and dating to cooking and crafting all while raising the kids and maintaining your own sanity sort of",306.87432
2881654,"simple joys of grandparenting stories nursery rhymes recipes games crafts and more",306.8745
3298191,"Citymakers the culture and craft of practical urbanism",307.1216
344043,"Statecraft as soulcraft what government does",320.2
2556229,"Churchills promised land Zionism and statecraft",320.54095
1059445,"Chinese Machiavelli 3000 years of Chinese statecraft",320.951
1821245,"Confucian statecraft and Korean institutions Yu Hyongwon and the late Choson dynasty",320.9519
3165915,"Off script an advance mans guide to White House stagecraft campaign spectacle and political suicide",320.97301
1771035,"Campaign craft the strategies tactics and art of political campaign management",324.70973
2903400,"Taking our country back the crafting of networked politics from Howard Dean to Barack Obama",324.70973
2940253,"craft of intelligence Americas legendary spy master on the fundamentals of intelligence gathering for a free world",327.12
1869932,"Tao of spycraft intelligence theory and practice in traditional China",327.1251
2499408,"Spycraft the secret history of the CIAs spytechs from Communism to Al Qaeda",327.1273
2534670,"Spycraft the secret history of the CIAs spytechs from Communism to Al Qaeda",327.1273
1253495,"Informing statecraft intelligence for a new century",327.1273
2419326,"Statecraft and how to restore Americas standing in the world",327.73
2927870,"American statecraft the story of the U S Foreign Service",327.73
3454221,"lessons of tragedy statecraft and world order",327.73
2946470,"Zbig the strategy and statecraft of Zbigniew Brzezinski",327.73009
3183447,"pivot the future of American statecraft in Asia",327.73051
2567206,"Shop class as soulcraft an inquiry into the value of work",331
2603463,"Shop class as soulcraft an inquiry into the value of work",331
2610818,"Shop class as soulcraft an inquiry into the value of work",331
247550,"Apprenticeship in craft",331.25922
259425,"Nothing but the best the tradition of English craftsmen from Edwardian to Elizabethan",331.794
3259814,"Masters of craft old jobs in the new urban economy",331.79409
2035305,"Battling for American labor wobblies craft workers and the making of the union movement",331.88097
3269858,"Poorcraft the funnybook fundamentals of living well on less",332.024
1365155,"craft of investing",332.6
333150,"chartcraft method of point and figure trading a scientific approach to the mechanics of stock market trading",332.6
3824213,"How to invest masters on the craft",332.678
3770931,"Woodsqueer crafting a sustainable life in rural Maine",338.10974
136445,"complete illustrated encyclopedia of the worlds aircraft",338.47629
1873631,"Pushing the envelope the American aircraft industry",338.47629
2990703,"craft beer revolution how a band of microbrewers is transforming the worlds favorite drink",338.47663
3011408,"We make beer inside the spirit and artistry of Americas craft brewers",338.47663
3037386,"American spirit an exploration of the craft distilling revolution",338.47663
3056826,"We make beer inside the spirit and artistry of Americas craft brewers",338.47663
3221809,"My beer year adventures with hop farmers craft brewers chefs beer sommeliers fanatical drinkers as a beer master in training",338.47663
3814122,"anchor brewing story Americas first craft brewery and San Franciscos original anchor steam beer",338.47663
2905678,"coat route craft luxury and obsession on the trail of a 50000 coat",338.47687
2649889,"Crafty superstar make crafts on the side earn extra cash and basically have it all",338.47745
2862577,"crafty superstar ultimate craft business guide",338.47745
3167648,"Craft in America Industry",338.76174
1390921,"legend of Chris Craft",338.76238
1886624,"legend of Chris Craft",338.76238
2105098,"Chris Craft a history 1922 1942",338.76238
2369140,"Willits brothers and their canoes wooden boat craftsmen in Washington state 1908 1967",338.76238
2721560,"Building Chris Craft inside the factories",338.76238
3244182,"Brewing revolution pioneering the craft beer movement",338.76633
2298563,"Brewing up a business adventures in entrepreneurship from the founder of Dogfish Head Craft Brewery",338.76634
3086768,"Brewing up a business adventures in beer from the founder of Dogfish Head Craft Brewery",338.76634
3388638,"Barrel aged stout and selling out Goose Island Anheuser Busch and how craft beer became big business",338.76634
81099,"art and craft of judging the decisions of Judge Learned Hand",340
1860035,"Order in the court crafting a more just world in lawless times",340.112
2191589,"Partners for democracy crafting the new Japanese state under MacArthur",342.52029
2185281,"Your crafts business a legal guide",343.73078
2670444,"craft artists legal guide protect your work save on taxes maximize profits",343.73078
2917170,"Business and legal forms for crafters",343.73078
1888120,"law in plain English for crafts",344.73017
1785555,"trial of witches a seventeenth century witchcraft prosecution",345.42028
2004971,"case of witchcraft the trial of Urbain Grandier",345.74402
356832,"Witchcraft magic and religion in 17th century Massachusetts",345.74402
526236,"Salem witchcraft trials",345.7445
3032336,"storm of witchcraft the Salem trials and the American experience",345.7445
3606982,"law in plain English for galleries a guide for selling arts and crafts",349.73024
1648489,"How to license a homebuilt aircraft",354.79097
552574,"War peace and victory strategy and statecraft for the next century",355.03
750410,"Home guard fieldcraft manual",355.35
2616782,"Medieval sieges siegecraft",355.44094
722086,"Japanese aircraft of the Pacific War",358.183
721845,"Aces pilots aircraft of the 9th 12th 15th USAAF",358.40097
137776,"Anti aircraft a history of air defence",358.4145
2044872,"Military aircraft boneyards",358.41621
3463264,"Area 51 the revealing truth of UFOs secret aircraft cover ups conspiracies",358.41709
1854999,"Janes fighting aircraft of World War II",358.4183
2223562,"1000 military aircraft in colour",358.4183
2097206,"directory of military aircraft of the world",358.4183
2167131,"Air Force aircraft",358.4183
720118,"In the cockpit flying the worlds great aircraft",358.4183
1854998,"Classic World War II aircraft cutaways",358.4183
416301,"Camouflage of 1939 42 aircraft",358.4183
2044535,"Fighting firsts fighter aircraft combat debuts from 1914 1944",358.4183
478577,"source book of World War Two aircraft",358.4183
554854,"Soviet and East European major combat aircraft including the worlds non aligned nations",358.4183
1644414,"War prizes an illustrated survey of German Italian and Japanese aircraft brought to Allied countries during and after the Second World War",358.4183
522242,"history of British military training aircraft",358.4183
485668,"illustrated guide to aircraft markings",358.4183
1892584,"Military aircraft insignia of the world",358.4183
2928096,"In the cockpit II inside history making aircraft of World War II",358.4183
2934353,"Boneyard nose art U S military aircraft markings and artwork",358.4183
2928094,"Vintage aircraft nose art",358.4183
467161,"Bent battered wings USN USMC damaged aircraft 1943 1953",358.41853
2140508,"German aircraft of the Second World War including helicopters and missiles",358.4186
371933,"Rise of the fighter aircraft 1914 1918",358.4309
2153384,"Luftwaffe fighter aircraft in profile",358.4383
593126,"Flying Cats the Catalina aircraft in World War II",358.45
3482407,"Jet girl my life in war peace and the cockpit of the worlds most lethal aircraft the F A 18 Super Hornet",359.0092
316200,"Aircraft carrier",359.32
2394,"Aircraft carriers a graphic history of carrier aviation and its influence on world events",359.32
1251477,"hybrid warship the amalgamation of big guns and aircraft",359.32509
585250,"British carrier aviation the evolution of the ships and their aircraft",359.3255
559714,"Submarines and other underwater craft",359.3257
1616531,"Submarines and other underwater craft",359.3257
2167134,"Navy combat aircraft and pilots",359.94
1840539,"Aircraft carrier",359.94
2291589,"incredible story of aircraft carriers",359.9483
1697258,"Essex aircraft carriers",359.94835
561922,"World War II aircraft carrier",359.94835
1853852,"illustrated data guide to modern aircraft carriers",359.94835
2528660,"Aircraft carriers of the world an illustrated guide to more than 140 ships with 400 identification photographs and illustrations from early kite balloon ships zeppelin and seaplane carriers to the many types of modern warships that carry variabl",359.94835
1758967,"Toddler adoption the weavers craft",362.734
1647872,"Fatal words communication clashes and aircraft crashes",363.12418
2167133,"Coast Guard rescue and patrol aircraft",363.28609
2570044,"Sneaky green uses for everyday things how to craft eco garments and sneaky snack kits create green cleaners remake paper into flying toys assemble alternative energy science projects and construct a robot recycle bin with everyday things",363.70525
2899800,"Travel the globe story times activities and crafts for children",370.117
3376115,"Play the Forest School way woodland games crafts and skills for adventurous kids",371.384
312982,"Adventures in habit craft character in the making",371.39
3752802,"Teaching Black the craft of teaching on Black life and literature",371.82996
2114093,"Easy art fun do it yourself crafts for beginning readers",372.5
1299933,"Tales from many lands papercrafts",372.5
751196,"First years in handicraft",372.5
1299929,"Classics papercrafts",372.5
148237,"Fun time crafts 100 things to make from materials at hand",372.5
1996087,"Around the world art activities visiting the 7 continents through craft fun",372.5044
629176,"Day by day 300 calendar related activities crafts and bulletin board ideas for the elementary grades",372.5044
430367,"handbook of arts and crafts for elementary and junior high school teachers",372.52
1970293,"giant encyclopedia of art craft activities for children 3 to 6 more than 500 art craft activities written by teachers for teachers",372.52044
1914044,"Kids around the world create the best crafts and activities from many lands",372.55
1973086,"Insects resource book and reproducible craft patterns",372.55
2199346,"Writing smart junior the art and craft of writing",372.623
2230439,"Haiku activities Asian arts crafts for creative kids",372.623
2204089,"storytime craft book",372.67
1980930,"Storytime crafts",372.677
2080759,"Storycraft 50 theme based programs combining storytelling activities and crafts for children in grades 1 3",372.677
1284518,"Look what weve brought you from Vietnam crafts games recipes stories and other cultural activities from new Americans",372.83
2131321,"Geography crafts for kids 50 cool projects activities for exploring the world",372.89104
24906,"In the early world discovering art through crafts",372.9931
493194,"craft of teaching a guide to mastering the professors art",378.12509
3272555,"Conquering the college admissions essay in 10 easy steps crafting a winning personal statement",378.1616
3336349,"Write your way in crafting an unforgettable college admissions essay",378.1616
1682722,"Native American crafts directory a guide for locating craft shops and craft suppliers",381.45745
1826136,"Job descriptions for film video and cgi computer generated imagery responsibilities and duties for the cinematic craft categories and classifications",384.80237
120481,"illustrated encyclopedia of ships boats vessels and other water borne craft comprising an alphabetical directory of all types of craft past and present",387.209
316567,"Medley of mast and sail II a camera record 525 photographic illustrations of many of the worlds vanished sailing craft both great and small accompanied by comment and description by experienced ship masters and other experts",387.22
613598,"Delta an airline and its aircraft the illustrated history of a major U S airline and the people who made it",387.70657
1648501,"Aeroflot an airline and its aircraft an illustrated history of the worlds largest airline",387.70947
496375,"British civil aircraft 1919 1972",387.7334
2207148,"Air Force One the aircraft that shaped the modern presidency",387.74208
1955870,"Charter airlines their aircraft and colours",387.7428
2747966,"Stylish shoes for the crafty fashionista",391.413
3141783,"Native American moccasins a craft manual",391.41308
213755,"Face coverings September 30 January 3 1971 Museum of Contemporary Crafts of the American Crafts Council",391.43074
2687497,"Henna magic crafting charms rituals with sacred body art",391.6
120071,"Jewish party book a contemporary guide to customs crafts and foods",392
3458004,"Crafting meaningful wedding rituals a practical guide",392.5
2115652,"Gifts with heart inspiring stories handmade crafts and one of a kind ideas",394
3666834,"Water wood and wild things learning craft and cultivation in a Japanese mountain town",394.12
2743106,"At the kitchen table the craft of cooking at home",394.1209
3148963,"Kwanzaa activities crafts recipes and more",394.2612
3028100,"Creating your vintage halloween the folklore traditions and some crafty makes",394.2646
2682291,"spirit of Christmas traditional recipes crafts and carols",394.2663
2690409,"Swedish Christmas traditions a smÃ¢Â€ÂrgÃ¢Â€Â sbord of Scandinavian recipes crafts and other holiday delights",394.2663
3028106,"Swedish Christmas traditions a smÃ¢Â€ÂrgÃ¢Â€Â sbord of Scandinavian recipes crafts and other holiday delights",394.2663
3028106,"Swedish Christmas traditions a smÃƒÂ¶rgÃƒÂ¥sbord of Scandinavian recipes crafts and other holiday delights",394.2663
2690409,"Swedish Christmas traditions a smÃƒÂ¶rgÃƒÂ¥sbord of Scandinavian recipes crafts and other holiday delights",394.2663
1291645,"My very own Christmas a book of cooking and crafts",394.26828
1297247,"Memories of the present a collection of holiday recipes crafts customs and helpful miscellany",394.26828
378047,"Christmas crafts customs around the world",394.26828
1597525,"Craft an elegant wedding",395.22
2860768,"priceless wedding crafting a meaningful memorable and affordable celebration",395.22
2907933,"new fashioned wedding designing your artful modern crafty textured sophisticated celebration",395.22
2138929,"art of thank you crafting notes of gratitude",395.4
741000,"smith the traditions and lore of an ancient craft",398
493926,"Mexican American folklore legends songs festivals proverbs crafts tales of saints of revolutionaries and more",398.08968
2100501,"I touched the moon stories and crafts for kids",398.2
2075883,"Hopi stories of witchcraft shamanism and magic",398.20899
3064612,"Two crafty jackals the animal fables of Kalilah and Dimnah",398.2452
171946,"craft context of translation a symposium",410.28
371959,"Dictionaries the art and craft of lexicography",413.028
161836,"complete rhyming dictionary and poets craft book",426
3181652,"How things work discover secrets and science behind bounce houses hovercraft robotics and everything in between",500
1373557,"Science crafts for kids 50 fantastic things to invent create",507.8
3216604,"Labcraft wizards magical projects and experiments",507.8
3450379,"Read learn create The nature craft book",508
3378801,"Math facts for Minecrafters Addition and subtraction grades 1 2",513.2
3378774,"Math for Minecrafters Adventures in addition subtraction",513.2
3378804,"Math for Minecrafters Adventures in multiplication division",513.2
3378802,"Math for Minecrafters Word problems grades 3 4",513.2
3378800,"Math facts for Minecrafters Multiplication and division grades 3 4",513.2
3378803,"Math for Minecrafters Word problems grades 1 2",513.2
744500,"Practical analytic geometry with applications to aircraft",516
3161568,"Seeing like a Rover how robots teams and images craft knowledge of Mars",523.43072
1366624,"Janes all the worlds aircraft",533.6
1366624,"All the worlds aircraft",533.6
60171,"Janes historical aircraft 1902 1916",533.609
732627,"Aircraft the story of powered flight",533.609
716158,"vintage veteran aircraft guide",533.609
226870,"Testing time the story of British test pilots and their aircraft",533.60942
5427,"Sopwith the man and his aircraft",533.60942
740369,"British aircraft 1809 1914",533.60942
27129,"Russian aircraft since 1940",533.60947
89329,"Fundamentals of aircraft flight",533.613
184048,"Aircraft power plants",533.62
275156,"Curtiss D 12 aircraft engine handbook",533.62
338044,"Diesel aircraft engines",533.62
3793,"Aircraft gas turbine engine technology",533.623
166819,"Jet aircraft simplified",533.623
377956,"Aircraft and missile propulsion",533.623
16948,"Aircraft propulsion",533.623
284053,"Gas turbines for aircraft",533.623
251795,"principles and construction of aircraft gas turbines a textbook for maintenance engineers",533.623
326883,"Aircraft gas turbines",533.623
244178,"Jet aircraft power systems By Jack V Casamassa and Ralph D Bent",533.623
243721,"Jet aircraft power systems principles and maintenance",533.623
706332,"Aircraft dynamics and automatic control",533.635
12970,"Building and flying scale model aircraft",533.642
266202,"Model airplane design and theory of flight a complete exposition of the aerodynamics and design of flying model aircraft with fundamental rules formulas and graphs",533.642
233868,"history and technical development of model aircraft",533.642
255024,"Hover craft",533.644
281948,"Aeromachine origins the beginnings of marine aircraft winged hulls air cushion and air lubricated craft planning boats and hydrofoils",533.649
200107,"Aircraft structures",533.65
254895,"Aircraft woodwork",533.65
1290168,"Aircraft sheet metal construction and repairs for aircraft mechanics and sheet metal workers",533.65
324633,"Aircraft descriptive geometry applied to aircraft design drafting and lofting by the direct method",533.65
183901,"Aircraft maintenance and repair",533.65
308877,"Machine tools in aircraft production",533.65
297714,"simple guide to blueprint reading with applications to aircraft",533.65
340058,"Plastics for aircraft ANC 17 bulletin",533.651
14233,"Aircraft dope fabric",533.651
208928,"EAA aircraft dope and fabric",533.651
285443,"Stresses in aircraft and shell structures",533.652
279139,"Aircraft vibration and flutter",533.652
334522,"introduction to the theory of aircraft structures",533.652
706657,"Aircraft structures for engineering students",533.652
314715,"Weight strength analysis of aircraft structures",533.652
13284,"Fundamentals of aircraft flight and engine instruments",533.655
231168,"Automatic control of aircraft and missiles",533.655
277486,"Aircraft hydraulics",533.659
240596,"High altitude aircraft equipment",533.659
214954,"Aircraft hydraulics",533.659
235509,"Practical aircraft hydraulics",533.659
59542,"Airships a popular history of dirigibles zeppelins blimps and other lighter than air craft",533.662
725619,"airships Akron Macon flying aircraft carriers of the United States Navy",533.662
285913,"Cruisers of the air the story of lighter than aire craft from the days of Roger Bacon to the making of the ZRS 4",533.662
310534,"Avro aircraft since 1908",533.678
9729,"Miles aircraft since 1925",533.678
748991,"Havilland aircraft since 1915",533.678
308672,"Pratt and Whitney Aircraft story",533.678
83625,"Bombers patrol and reconnaissance aircraft 1914 1919",533.683
31776,"Flying combat aircraft of the USAAF USAF",533.683
13826,"Aircraft of the Vietnam war a pictorial review",533.683
108790,"Aircraft in profile",533.683
436758,"Fighters between the wars 1919 39 including attack and training aircraft",533.683
243768,"Famous aircraft the F 86 Sabre",533.683
1211,"Aircraft of World War I",533.683
34997,"Hawker aircraft since 1920",533.683
752865,"Hawker aircraft since 1920",533.683
742729,"Famous aircraft the P 47 Thunderbolt Scale drawings Richard Groh",533.683
91451,"Fighters in service attack and training aircraft since 1960",533.683
182150,"U S Army Aircraft heavier than air 1908 1946",533.683
742726,"Famous aircraft the AT 6 Harvard",533.683
308812,"Japanese aircraft",533.683
52943,"Hawker an aircraft album",533.683
59413,"Aircraft of World War II",533.683
109283,"Aircraft camouflage and markings 1907 1954",533.683
284978,"Aeronautics aircraft spotters handbook",533.69
87252,"Aircraft markings of the world 1912 1967",533.69
279624,"observers book of aircraft",533.69
1742333,"Geology crafts for kids 50 nifty projects to explore the marvels of planet earth",551.078
326757,"Wind and sailing boats the structure and behavior of the wind as it affects sailing craft",551.5
22208,"Gemstone mineral data book a compilation of data recipes formulas and instructions for the mineralogist gemologist lapidary jeweler craftsman and collector",553.8
1836540,"Ecology crafts for kids 50 great ways to make friends with planet earth",577
2469977,"Thrillcraft the environmental consequences of motorized recreation",577.27
3422141,"How Indians use wild plants for food medicine and crafts",581.61097
1803713,"herbal arts a handbook of gardening recipes healing crafts and spirituality",581.63
1694950,"How Indians use wild plants for food medicine and crafts",581.63097
1608596,"Sunflowers growing crafting and cooking with the sunniest of plants",583.55
3494974,"complete book of ferns indoors outdoors growing crafting history lore",587.3
3102502,"Tooling around crafty creatures and the tools they use",591.5
3161045,"Following the wild bees the craft and science of bee hunting",595.799
1929138,"Crafty canines coyotes foxes and wolves",599.772
3104236,"How to build a hovercraft air cannons magnet motors and 25 other amazing DIY science projects",600
2485963,craftsman,601
165145,"Rural crafts of England a study of skilled workmanship",609.42
1268032,"Japanese technology a tradition of craftsmanship",609.52
108813,"Colonial craftsmen and the beginnings of American industry",609.73
425226,"Colonial craftsmen and the beginnings of American industry",609.73
217241,"Survival a manual for aircraft crews forced down in all parts of the world including hints on living off the land building shelters traveling protection against disease saving life and limb",613.69
2500219,"Primitive skills and crafts an outdoorsmans guide to shelters tools weapons tracking survival and more",613.69
2982964,"outdoor survival handbook step by step bushcraft skills",613.69
3046059,"Bushcraft 101",613.69
3789705,"Mother Nature is not trying to kill you a wildlife bushcraft survival guide",613.69
2716864,"Slow sex the art and craft of the female orgasm",613.96082
3276084,"Slow sex the art and craft of the female orgasm",613.96082
3227401,"Do it yourself herbal medicine home crafted remedies for health beauty",615.321
3781405,"healing garden cultivating handcrafting herbal remedies",615.321
3776767,"Wild remedies how to forage healing foods and craft your own herbal medicine",615.321
3764540,"Wild witchcraft folk herbalism garden magic and foraging for spells rituals and remedies",615.321
3823029,"aromatheraphy companion a portable guide to blending essential oils crafting remedies for body mind and spirit",615.3219
3675172,"Easy crafts for the insane a mostly funny memoir of mental illness and making things",616.8527
3685768,"Soul therapy the art and craft of caring conversations",616.8914
222748,"surgeons craft",617.09
3394461,"handmade mama simple crafts healthy recipes and natural bath body products for mama and baby",618.24
3297312,"superkids activity guide to conquering every day awesome games and crafts to master your moods boost focus hack mealtimes and help grown ups understand why you do the things you do",618.928
2389168,"Wood craft culture history",620.12
2037776,"Radios by Hallicrafters with price guide",621.38416
283388,"testing of high speed internal combustion engines with special reference to automobile and aircraft types including gas turbines",621.43
283384,"testing of high speed internal combustion engines with special reference to automobile and aircraft types and to the testing automobiles",621.43
2663974,"Kinetic contraptions build a hovercraft airboat and more with a hobby motor",621.46078
28955,"Country craft tools",621.9
391100,"Custom knifemaking 10 projects from a master craftsman",621.932
2132200,"Anti aircraft artillery",623.41
310437,"Defense against dive bombers and low flying aircraft a handbook for light machine gunners including particulars of notable successes in recent fighting by land and sea",623.41
452710,"Military aircraft video report",623.74
2062373,"Aircraft of World War II a visual encyclopedia",623.746
2024815,"Military aircraft",623.746
1877272,"Great aircraft of WWII",623.746
1919862,"Classic World War II aircraft cutaways",623.746
2035150,"vital guide to commercial aircraft and airliners",623.746
1915210,"Janes historic military aircraft",623.746
408586,"US naval and marine aircraft today",623.746
602395,"Aircraft of the Spanish Civil War 1936 39",623.746
2068308,"International warbirds an illustrated guide to world military aircraft 1914 2000",623.746
479045,"Sea sky and stars an illustrated history of Grumman aircraft",623.746
2696868,"Modern military aircraft",623.746
2927116,"Aircraft wrecks of the Pacific Northwest",623.746
2984890,"Modern military aircraft",623.746
2984896,"Area 51 black jets a history of the aircraft developed at Groom Lake Americas secret aviation base",623.746
3523850,"Stealth the secret contest to invent invisible aircraft",623.746
2928092,"Hidden warbirds the epic stories of finding recovering and rebuilding WWIIs lost aircraft",623.74602
1977430,"Fighting cockpits 1914 2000 design and development of military aircraft cockpits",623.74604
370699,"Aircraft design",623.74604
105619,"British military aircraft of World War One the official technical and rigging notes for RFC and RNAS fighting and training aeroplanes 1914 1918",623.74604
2042844,"Hunting warbirds the obsessive quest for the lost aircraft of World War II",623.74607
200450,"Presidio concise guide to Soviet military aircraft",623.74609
1923945,"Warbirds an illustrated guide to U S military aircraft 1915 2000",623.74609
1889290,"Secret aircraft designs of the Third Reich",623.74609
1647037,"Dark Eagles a history of top secret U S aircraft programs",623.74609
1816448,"Picture history of World War II American aircraft production",623.74609
101758,"United States Navy aircraft since 1911",623.74609
2230310,"Luftwaffe secret projects ground attack special purpose aircraft",623.7463
206945,"Aircraft of World War 2",623.7463
724736,"Ed Heinemann combat aircraft designer",623.7463
2562905,"American attack aircraft since 1926",623.7463
2202159,"great book of fighters an illustrated encyclopedia of every fighter aircraft built and flown",623.7464
1929404,"Soviet combat aircraft of the Second World War",623.7464
2203818,"Illustrated book of fighter aircraft from the earliest planes to the supersonic jets of today",623.7464
1853855,"illustrated data guide to World War II maritime attack aircraft",623.7464
607497,"concise illustrated book of top gun aircraft",623.7464
1827252,"MiG aircraft since 1937",623.7464
728671,"F51D Mustang part I flight handbook USAF series F 51D aircraft part II appendix follows flight handbook",623.7464
3197081,"Fighting cockpits in the pilots seat of great military aircraft from World War I to today",623.7464
1853851,"illustrated data guide to modern reconnaissance aircraft",623.7467
714332,"Janes pocket book of research and experimental aircraft",623.7469
1879817,"Combat aircraft recognition",623.76
350112,"Small steel craft design construction and maintenance",623.81821
2492285,"Pete Culler on wooden boats the master craftsmans collected teachings on boat design building repair and use",623.8184
1725298,"big aircraft carrier",623.82
3193357,"Stickmens guide to watercraft",623.82
1390925,"Surveying small craft",623.8202
1697115,"Building classic small craft complete plans and instructions for 47 boats",623.8202
114090,"Building classic small craft",623.8202
1319145,"Classic small craft you can build",623.8202
1253906,"More building classic small craft",623.8202
2378434,"Building classic small craft complete plans and instructions for 47 boats",623.8202
352157,"Surveying small craft fault finding in boats",623.8202
2721597,"Surveying yachts and small craft",623.8202
2059924,"Wooden boats in pursuit of the perfect craft at an American boatyard",623.82023
3093759,"Wooden boats in pursuit of the perfect craft at an American boatyard",623.82023
3837806,"Working boats an inside look at ten amazing watercraft",623.82026
3271006,"Notable boats small craft many adventures",623.8203
329541,"Wooden boat an appreciation of the craft",623.8207
203644,"Building small boats surf craft and canoes in fiberglass",623.8207
2457964,"Woodstrip rowing craft how to build step by step",623.8207
488698,"Mystic Seaport Museum watercraft",623.82074
173828,"Mystic Seaport Museum watercraft",623.82074
510729,"Wooden shipbuilding small craft preservation papers from the Symposium on the American Wooden Shipbuilding Industry sponsored by the Bath Marine Museum April 30 May 2 1976 in Bath Maine and from the second annual Museum Conference on Small",623.82074
1708875,"Tidecraft the boats of South Carolina Georgia and northeastern Florida 1550 1950",623.82097
719122,"American sailing craft",623.822
4771,"Sailing and small craft down the ages",623.822
1329304,"Yacht craftsmans handbook",623.8223
424736,"way of a yacht an introduction to the comparative anatomy of offshore sailing craft",623.8223
1905198,"Inshore craft of Norway from a manuscript",623.8226
205317,"Inshore craft of Norway",623.8226
1604459,"Jet watercraft",623.8231
2378435,"Chris Craft of the 1950s",623.8231
616481,"Small craft advisory a book about the building of a boat",623.8231
2378444,"Mahogany memories Chris Craft antique boats",623.82313
3370076,"Chris Craft an American classic",623.82313
1792229,"Aircraft carriers",623.8255
2478230,"Aircraft carriers",623.8255
2794542,"Aircraft carriers runways at sea",623.8255
143016,"Fast attack craft",623.8258
1970498,"Canoecraft an illustrated guide to fine woodstrip construction",623.829
2378439,"Kayakcraft fine woodstrip kayak construction",623.829
372192,"canoe a history of the craft from Panama to the Arctic",623.829
241654,"Yacht joinery and fitting practical guidance on the planning and building of cabin accomodation in sailing and power craft",623.866
241654,"Yacht joinery and fitting practical guidance on the planning and building of cabin accommodation in sailing and power craft",623.866
2907442,"Marlinspike sailors knots and crafts a step by step guide to tying classic sailors knots to create adorn and show off",623.8882
3175721,"Des Pawsons knot craft rope mats 60 ropework projects including 20 mat designs",623.8882
2183142,"Boaters bowditch the small craft American practical navigator",623.89
326059,"Small craft piloting coastal navigation",623.89
1805309,"art and craft of stonescaping setting and stacking stone",624.1832
786703,"Small craft harbors design and construction and operation",627.2
1740231,"Planning and design guidelines for small craft harbors",627.38
1255801,"Marinas and small craft harbors",627.38
1658465,"Strange and wonderful aircraft",629.13
1885657,Aircraft,629.13
1816442,"Aircraft basic science",629.13
1670566,"Proud heritage a pictorial history of British aerospace aircraft",629.13
1888584,"Guide to over 900 aircraft museums USA and Canada also 235 aircraft in city parks 49 restaurants 42 US naval ship musuems 22 WWII landmarks 7428 aircraft alphabetically",629.13007
1649372,"Flying the frontiers NACA and NASA experimental aircraft",629.13007
1816416,"Tupolev the man and his aircraft",629.13009
2528701,"Smithsonian atlas of world aviation charting the history of flight from the first balloons to todays most advanced aircraft",629.1309
548609,"Legends of the air aircraft pilots and planemakers from the Museum of Flight",629.1309
3310781,"propeller under the bed a personal history of homebuilt aircraft",629.13092
410413,"Model aircraft aerodynamics",629.1323
432164,"Aircraft dynamic stability and response",629.13236
244756,"Aircraft weight balance an Aviation Maintenance Publishers Inc training manual",629.13236
1977371,"Aircraft icing a pilots guide",629.13252
189889,"Flying light aircraft",629.13252
1816417,"Aircraft crashworthiness",629.13255
2133879,"Amazing aircraft",629.133
713176,"Janes Pocket book of home built aircraft",629.133
27112,"Fundamentals of aircraft design",629.133
594879,"Unconventional aircraft",629.133
1331771,Aircraft,629.133
2436173,"AirCraft the jet as art",629.133
2968553,"Aircraft the definitive visual history",629.133
3183235,"Stickmens guide to aircraft",629.133
2355496,"encyclopedia of modern aircraft from civilian airliners to military superfighters",629.13303
1265353,"Historic aircraft",629.13307
743673,"aircraft treasures of Silver Hill the behind the scenes workshop of our nations air museums",629.13307
1378650,"World encyclopaedia of aircraft manufacturers from the pioneers to the present day",629.13309
1817159,"Basics of R C model aircraft design practical techniques for building better models",629.1331
2250781,"Circular airflow and model aircraft",629.1331
552482,"Expansion engine powered model aircraft CO compressed air steam",629.13313
394693,"Building and flying control line model aircraft",629.13313
370596,"Unconventional aircraft",629.1333
98545,"To fly like a bird the story of man powered aircraft",629.1333
729653,"Homebuilt aircraft",629.1333
