title,deweyClass
"Gay in America",306.766
"Beyond gay or straight understanding sexual orientation",306.766
"gay book of lists",306.766
"Gender queer a memoir",306.766
"What if someone I know is gay answers to questions about gay and lesbian people",306.766
"Gay shame",306.766
"Gay and lesbian couples voices from lasting relationships",306.766
"Beyond the closet the transformation of gay and lesbian life",306.766
"I exist voices from the Middle Eastern lesbian gay community",306.766
"Speaking out",306.766
"Pomosexuals challenging assumptions about gender and sexuality",306.766
"Permanent partners building gay lesbian relationships that last",306.766
"trouble with normal sex politics and the ethics of queer life",306.766
"Homosexuality what does it mean",306.766
"Torn apart united by love divided by law",306.766
"Outlooks lesbian and gay sexualities and visual cultures",306.766
"Me oi con dong tÃƒÂ­nh",306.766
"Stonewall the definitive story of the LGBTQ rights uprising that changed america",306.766
"Reaching out to lesbian gay bisexual youth",306.766
"Follow my voice with the music of Hedwig",306.766
"Beyond gay the politics of pride",306.766
"Born this way real stories of growing up gay",306.766
"How homophobia hurts children nuturing diversity at home at school and in the community",306.766
"Strangers homosexual love in the nineteenth century",306.766
"Stonewall uprising",306.766
"Another mother tongue gay words gay worlds",306.766
"Istoriia netraditsionnoi orientatsii legendy i mify vsemirnoi istorii",306.766
"Flag wars",306.766
"After Stonewall from the riots to the millennium the sequel to before Stonewall",306.766
"Journeys across the rainbow inspirational stories for the human race",306.766
"Queer a graphic history",306.766
"economic case for LGBT equality why fair and equal treatment benefits us all",306.766
"GLBTQ Gay Lesbian Bisexual Transgender Questioning the survival guide for queer and questioning teens",306.766
"When someone you know is gay",306.766
"faggots their friends between revolutions",306.766
"Aceptate aceptalo como explicar y comprender las distintas orientaciones sexuales",306.766
"Queercore how to punk a revolution an oral history",306.766
"Anti gay",306.766
Queer,306.766
"Love and resistance out of the closet into the Stonewall era",306.766
"Stonewall Riots making a stand for LGBTQ rights",306.766
"Bridges of respect creating support for lesbian and gay youth",306.766
"Before Stonewall",306.766
"After Stonewall",306.766
"Straight talk about homosexuality the other side of tolerance",306.766
"letter Q queer writers notes to their younger selves",306.766
"There goes the gayborhood",306.766
"Homophobia from social stigma to hate crimes",306.766
"Queercore how to punk a revolution",306.766
"Come out fighting a century of essential writing on gay and lesbian liberation",306.766
"Pride the LGBTQ rights movement a photographic journey",306.766
"En el clÃ‚Â¢set",306.766
"Now that youre out of the closet what about the rest of the house",306.766
"Hear me out true stories of Teens Educating and Confronting Homophobia a project of Planned Parenthood of Toronto",306.766
"construction of homosexuality",306.766
"Coming out straight understanding and healing homosexuality",306.766
"Crip theory cultural signs of queerness and disability",306.76601
"Queer theory an introduction",306.76601
"Queer ecologies sex nature politics desire",306.76601
"Queer frontiers millennial geographies genders and generations",306.76601
"mythology of transgression homosexuality as metaphor",306.76601
"material queer a LesBiGay cultural studies reader",306.76601
"Deviations a Gayle Rubin reader",306.76601
"When drag is not a car race an irreverent dictionary of over 400 gay and lesbian words and phrases",306.76603
"dictionary of homophobia a global history of gay lesbian experience",306.76603
"Gay science the ethics of sexual orientation research",306.76607
"Oddly normal one familys struggle to help their teenage son come to terms with his sexuality",306.76608
"Drifting toward love black brown gay and coming of age on the streets of New York",306.76608
"Homophobia in the Black church how faith politics and fear divide the Black community",306.76608
"No tea no shade new writings in Black queer studies",306.76608
"This is a book for parents of gay kids a question answer guide to everyday life",306.76608
"Live through this surviving the intersections of sexuality God and race",306.76608
"Sweet Tooth a memoir",306.76608
"Becoming who I am young men on being gay",306.76608
"Queer aging the gayby boomers and a new frontier for gerontology",306.76608
"masculine marine homoeroticism in the U S Marine Corps",306.76608
"Oddly normal one familys struggle to help their teenage son come to terms with his sexuality a memoir",306.76608
"Ties that bind familial homophobia and its consequences",306.76608
"full spectrum a new generation of writing about gay lesbian bisexual transgender questioning and other identities",306.76608
"Nobody is supposed to know black sexuality on the down low",306.76608
"Gay people of color facing prejudices forging identities",306.76608
"Mormon grown gay",306.76608
"It gets better coming out overcoming bullying and creating a life worth living",306.76608
"Q A queer in Asian America",306.76608
"spirit and the flesh sexual diversity in American Indian culture",306.76608
"Unconditional a guide to loving and supporting your LGBTQ child",306.76608
"LGBT youth issues today a reference handbook",306.76608
"Parenting your LGBTQ teen a guide to supporting empowering and connecting with your child",306.76608
"Out late",306.76608
NÃƒÂ®tisÃƒÂ¢nak,306.76608
"Gay resistance the hidden history",306.76609
"Legacies of love a heritage of queer bonding",306.76609
"Victory the triumphant gay revolution",306.76609
"Lady boys tom boys rent boys male and female homosexualities in contemporary Thailand",306.76609
"Outbound finding a man sailing an ocean",306.76609
"Sexual politics sexual communities the making of a homosexual minority in the United States 1940 1970",306.76609
"Queer street rise and fall of an American culture 1947 1985 excursions in the mind of the life",306.76609
"Stonewall Riots the fight for LGBT rights",306.76609
"50 queers who changed the world a celebration of LGBTQ icons",306.76609
"heart of the matter",306.76609
"night at the Sweet Gum Head drag drugs disco and Atlantas gay revolution",306.76609
"Safe space gay neighborhood history and the politics of violence",306.76609
"Boy erased a memoir of identity faith and family",306.76609
"Queer Asia decolonising and reimagining sexuality and gender",306.76609
"Below the belt sexuality religion and the American South",306.76609
"Dark tears LGBTQ resilience in Latin America",306.76609
"Gay essentials facts for your queer brain",306.76609
"out list",306.76609
"Brave journeys profiles in gay and lesbian courage",306.76609
"Conversaciones relatos de padres y madres de hijas lesbianas e hijos gay",306.76609
"Life outside the Signorile report on gay men sex drugs muscles and the passages of life",306.76609
"Hidden holocaust gay and lesbian persecution in Germany 1933 45",306.76609
"If memory serves gay men AIDS and the promise of the queer past",306.76609
"Stepping out nine tours through New York Citys gay and lesbian past",306.76609
"Boys and oil growing up gay in a fractured land",306.76609
"As you like it the Gerald Kraak anthology African perspectives on gender social justice and sexuality",306.76609
"Queer ideas the David R Kessler lectures in lesbian and gay studies",306.76609
"American homo community and perversity",306.76609
"No way they were gay hidden lives and secret loves",306.76609
"whole world was watching living in the light of Matthew Shepard",306.76609
"Breaking through",306.76609
"freezer door",306.76609
"Martin Duberman reader the essential historical biographical and autobiographical writings",306.76609
"Boy erased a memoir",306.76609
"Queer city gay London from the Romans to the present day",306.76609
"lie a memoir of two marriages catfishing coming out",306.76609
"Homosexuality in history",306.76609
"Angry queer Somali boy a complicated memoir",306.76609
"Bad gays a homosexual history",306.76609
"Pink triangle legacies coming out in the shadow of the Holocaust",306.76609
"StoryCorps OutLoud stories from the LGBTQ community gathered by StoryCorps and heard on NPR",306.76609
"What if answers to questions about what it means to be gay and lesbian",306.76609
"Family outing",306.76609
"Has the gay movement failed",306.76609
"Losing Matt Shepard life and politics in the aftermath of anti gay murder",306.76609
"queer history of the United States",306.76609
"Free Havana",306.76609
"Dangerous living coming out in the the developing world",306.76609
"Gay men women who enriched the world",306.76609
"Kings queens queers at the prom",306.76609
"Trailblazers profiles of Americas gay and lesbian elected officials",306.76609
"Gay America struggle for equality",306.76609
"Crisis 40 stories revealing the personal social and religious pain and trauma of growing up gay in America",306.76609
"Queer Japan personal stories of Japanese lesbians gays transsexuals and bisexuals",306.76609
"Cartographies of desire male male sexuality in Japanese discourse 1600 1950",306.76609
"After love queer intimacy and erotic economies in post soviet Cuba",306.76609
"Homosexuality in cold war America resistance and the crisis of masculinity",306.76609
"Stonewall Riots coming out in the streets",306.76609
"Vice patrol cops courts and the struggle over urban gay life before Stonewall",306.76609
"Stonewall breaking out in the fight for gay rights",306.76609
"Homophobia a history",306.76609
"No dress code required Etiqueta no rigurosa",306.76609
"Love Christopher Street reflections of New York City",306.76609
"We are everywhere protest power and pride in the history of queer liberation",306.76609
"Pride the story of the LGBTQ equality movement",306.76609
"Toward Stonewall homosexuality and society in the modern western world",306.76609
"Men in Eden William Drummond Stewart and same sex desire in the Rocky Mountain fur trade",306.76609
"Word is out stories of some of our lives",306.76609
"Carryin on in the lesbian and gay South",306.76609
"Gay Seattle stories of exile and belonging",306.76609
"Lavender and red liberation and solidarity in the gay and lesbian left",306.76609
"Secret city the hidden history of gay Washington",306.76609
"Coming home to America a road map to gay lesbian empowerment",306.76609
"Why marriage the history shaping todays debate over gay equality",306.76609
"rise of a gay and lesbian movement",306.76609
"Call me Kuchu",306.76609
"Under bright lights gay Manila and the global scene",306.76609
"Real queer America LGBT stories from red states",306.76609
"Hidden from history reclaiming the gay and lesbian past",306.76609
"Before Stonewall the making of a gay and lesbian community",306.76609
"Rainbow warrior my life in color",306.76609
"Gay L A a history of sexual outlaws power politics and lipstick lesbians",306.76609
"desired past a short history of same sex love in America",306.76609
"Tearoom trade impersonal sex in public places",306.76609
"50 fabulous gay friendly places to live",306.76609
"Erotic islands art and activism in the queer Caribbean",306.76609
"Travels in a gay nation portraits of LGBTQ Americans",306.76609
"Resident alien",306.76609
"Homosexuality civilization",306.76609
"Hitting hard",306.76609
"Women and gay men in the postwar period",306.76609
"Irresistible revolution confronting race class and the assumptions of lesbian gay bisexual and transgender politics",306.76609
"Greeks and Greek love a bold new exploration of the ancient world",306.76609
"evening crowd at Kirmsers a gay life in the 1940s",306.76609
"un natural state Arkansas and the queer South",306.76609
"gay revolution the story of the struggle",306.76609
"Feeling backward loss and the politics of queer history",306.76609
"Reclaiming Sodom",306.76609
Homosexuality,306.76609
"Finally out letting go of living straight",306.76609
"Before Stonewall",306.76609
"Stonewall riots a documentary history",306.76609
"Screaming queens the riot at Comptons Cafeteria",306.76609
"Pray the gay away the extraordinary lives of Bible belt gays",306.76609
"Gay Berlin birthplace of a modern identity",306.76609
"LGBTQ stats lesbian gay bisexual transgender and queer people by the numbers",306.76609
"Masked voices gay men and lesbians in Cold War America",306.76609
"Sewing the rainbow the story of Gilbert Baker and the rainbow flag",306.76609
"Gay life and culture a world history",306.76609
"queer history of the United States for young people",306.76609
"Strangers homosexual love in the nineteenth century",306.76609
"Homosexuality and American public life",306.76609
"Thats revolting queer strategies for resisting assimilation",306.76609
"Cracks in the iron closet travels to gay and lesbian Russia",306.76609
"gay lesbian atlas",306.76609
"Semi queer inside the world of gay trans and black truck drivers",306.76609
"Queer in Russia a story of sex self and the other",306.76609
"Out in the South",306.76609
"Where are we Our trip through America Paragraph 175",306.76609
"Becoming visible an illustrated history of lesbians and gay life in twentieth century America",306.76609
"Queer there and everywhere 23 people who changed the world",306.76609
"little gay history desire and diversity across the world",306.76609
"God loves Uganda",306.76609
"Great mirrors shattered homosexuality orientalism and Japan",306.76609
"When we rise my life in the movement",306.76609
"Paragraph 175",306.76609
"Stonewall the riots that sparked the gay revolution",306.76609
"deviants war the homosexual vs the United States of America",306.76609
"boys of fairy town sodomites female impersonators third sexers pansies queers and sex morons in Chicagos first century",306.76609
"Pride photographs after Stonewall",306.76609
"Gay lives",306.76609
"Christianity social tolerance and homosexuality gay people in Western Europe from the beginning of the Christian era to the fourteenth century",306.76609
"Required reading how to get your life for good",306.7662
"From boys to men gay men write about growing up",306.7662
"Its a queer world deviant adventures in pop culture",306.7662
"way out the gay mans guide to freedom no matter if youre in denial in the closet one foot out just out or been around the block",306.7662
"How the homosexuals saved civilization the true and heroic story of how gay men shaped the modern world",306.7662
"Commitment and healing gay men and the need for romantic love",306.7662
"velvet rage overcoming the pain of growing up gay in a straight mans world",306.7662
"10 smart things gay men can do to improve their lives",306.7662
"My thinning years starving the gay within",306.7662
"Twilight man love and ruin in the shadows of Hollywood and the Clark empire",306.7662
"American Savage insights slights and fights on faith sex love and politics",306.7662
"States of desire revisited travels in gay America",306.7662
"Love stories sex between men before homosexuality",306.7662
"Gay like me a father writes to his son",306.7662
Baloney,306.7662
"Exiled for love the journey of an Iranian queer activist",306.7662
"Between the palms a collection of gay travel erotica",306.7662
"How to survive your own gay life an adult guide to love sex and relationships",306.7662
"Into the garden with Charles a memoir",306.7662
"When love lasts forever male couples celebrate commitment",306.7662
"How to be gay",306.7662
"Mamas boy preachers son a memoir",306.7662
"Two dads and three girls searching for sexual identity falling in love and building a family through surrogacy",306.7662
"secret lore of gardening patterns of male intimacy",306.7662
"Beyond shame reclaiming the abandoned history of radical gay sexuality",306.7662
"Lawfully wedded husband how my gay marriage will save the American family",306.7662
"estupenda guia para vivir la vida a tu manera",306.7662
"Lives of great men living and loving as an African gay man a memoir",306.7662
"Brown and gay in LA the lives of immigrant sons",306.7662
Chemsex,306.7662
"queer geography journeys toward a sexual self",306.7662
"And then I danced traveling the road to LGBT equality",306.7662
"My undoing love in the thick of sex drugs pornography and prostitution",306.7662
"I cant date Jesus love sex family race and other reasons Ive put my faith in BeyoncÃƒÂ©",306.7662
"Romanian story of an obsession",306.7662
"Fat gay men girth mirth and the politics of stigma",306.7662
"Taking Woodstock",306.7662
"All boys arent blue a memoir manifesto",306.7662
"Inside out",306.7662
"Memories of a gay Catholic boyhood coming of age in the sixties",306.7662
"Punch me up to the gods",306.7662
"Gay sex in the 70s",306.7662
"taste for brown bodies gay modernity and cosmopolitan desire",306.7662
"signifyin works of Marlon Riggs",306.7662
"hidden life",306.7662
"Cruise control understanding sex addiction in gay Men",306.7662
"Cures a gay mans odyssey",306.7662
"No ashes in the fire coming of age black free in America",306.7662
"groom will keep his name and other vows Ive made about race resistance and romance",306.7662
"Out of the shadows reimagining gay mens lives",306.7662
"Men in love male homosexualities from Ganymede to Batman",306.7662
"Imagining gay paradise Bali Bangkok and cyber Singapore",306.7662
"Not straight not white black gay men from the March on Washington to the AIDS crisis",306.7662
"man you had in mind",306.7662
"Passions of the cut sleeve the male homosexual tradition in China",306.7662
"Looking for brothers",306.7662
Djinn,306.7662
"Men on the make true gay sex confessions",306.7662
"Gaysia adventures in the queer east",306.7662
"Swish my quest to become the gayest person ever",306.7662
"Same sex affairs constructing and controlling homosexuality in the Pacific Northwest",306.7662
"For colored boys who have considered suicide when the rainbow is still not enough coming of age coming out and coming home",306.7662
"People Ive met from the internet",306.7662
"Cruising an intimate history of a radical pastime",306.7662
"Confessions of a Jewish Wagnerite being gay and Jewish in America",306.7662
"Gay men and the new way forward",306.7662
"Buying gay how physique entrepreneurs sparked a movement",306.7662
"storm one voice from the AIDS generation",306.7662
"Two grooms on a cake the story of Americas first gay wedding",306.7662
"Fighting words personal essays by black gay men",306.7662
"Im not broken a memoir",306.7662
"Roman homosexuality",306.7662
"Tongues untied",306.7662
"Loving someone gay",306.7662
"Sexuality and eroticism among males in Moslem societies",306.7662
"tomcat chronicles erotic adventures of a gay liberation pioneer",306.7662
"My husband and my wives a gay mans odyssey",306.7662
"Love in the time of HIV the gay mans guide to sex dating and relationships",306.7662
"True homosexual experiences Boyd McDonald and Straight to Hell",306.7662
"tragedy of todays gays",306.7662
"Man of my dreams provocative writing on men loving men",306.7662
"Coming out a handbook for men",306.7662
"Sexual discretion black masculinity and the politics of passing",306.7662
"dutiful boy a memoir of secrets lies and family love",306.7662
"Islamic homosexualities culture history and literature",306.7662
"Pray the gay away",306.7662
"RJ Farrah and me a young mans gay odyssey from the inside out",306.7662
"High yella a modern family memoir",306.7662
"We are not broken",306.7662
"Androphilia a manifesto rejecting the gay identity reclaiming masculinity",306.7662
"Gay giant",306.7662
"High risk homosexual a memoir",306.7662
"Americas boy a memoir",306.7662
"Sweet tea Black gay men of the South",306.7662
"Hola Papi how to come out in a Walmart parking lot and other life lessons",306.7662
"Tweaked a crystal meth memoir",306.7662
"Palm trees on the Hudson a true story of the mob Judy Garland interior decorating",306.7662
"Reviving the tribe regenerating gay mens sexuality and culture in the ongoing epidemic",306.7662
"Out in time the public lives of gay men from Stonewall to the queer generation",306.7662
"Girls who like boys who like boys true tales of love lust and friendship between straight women and gay men",306.7662
"Other mens sons",306.7662
Homosexualities,306.7662
"Gentlemen prefer Asians tales of gay Indonesians and green card marriages",306.7662
"Straight science homosexuality evolution and adaptation",306.7662
"My diva 65 gay men on the women who inspire them",306.7662
"Punch me up to the gods a memoir",306.7662
"Becoming gay the journey to self acceptance",306.7662
"Afterwords real sex from gay mens diaries",306.7662
"untold tales of Armistead Maupin",306.7662
"Dancing around the volcano freeing our erotic lives decoding the enigma of gay men and sex",306.7662
"Sex and isolation and other essays",306.7662
"Portrait of Jason",306.7662
"Damn shame a memoir of desire defiance and show tunes",306.7662
"Gay man talking all the conversations we never had",306.7662
"Disasterama Adventures in the queer underground 1977 1997",306.7662
"Black boy out of time a memoir",306.7662
"Boys like us gay writers tell their coming out stories",306.7662
"Male homosexuality in four societies Brazil Guatemala the Philippines and the United States",306.7662
"What color is your hoodie essays on black gay identity",306.7662
"Gay histories and cultures an encyclopedia",306.7662
"Dream boat",306.7662
"Whos a pretty boy then one hundred fifty years of gay life in pictures",306.7662
"Male male intimacy in early America beyond romantic friendships",306.7662
"Unspeakable love gay and lesbian life in the Middle East",306.7662
"After Woodstock the true story of a Belgian movie an Israeli wedding and a Manhattan breakdown",306.7662
"third person",306.7662
"Gay bar the fabulous true story of a daring woman and her boys in the 1950s",306.76627
"Alice Freda forever a murder in Memphis",306.7663
"Lesbian psychologies explorations and challenges",306.7663
"Female masculinities and the gender wars the politics of sex",306.7663
"Not a passing phase reclaiming lesbians in history 1840 1985",306.7663
"Naming the violence speaking out about lesbian battering",306.7663
"new fuck you adventures in Lesbian reading",306.7663
"Lesbian ethics toward new value",306.7663
"American queer the Amazon trail",306.7663
"Snapshots of a girl",306.7663
"Prairie silence a memoir",306.7663
"fixed stars",306.7663
"Lesbian histories and cultures an encyclopedia",306.7663
"Sapphistries a global history of love between women",306.7663
"end of San Francisco",306.7663
"Shes just not that into you the Fab Femmes guide to queer love and dating",306.7663
"Love matters a book of lesbian romance and relationships",306.7663
"short history of queer women",306.7663
"She called me woman Nigerias queer women speak",306.7663
"Unnatural dykes to watch out for",306.7663
"You cant buy love like that growing up gay in the Sixties",306.7663
"Bad dyke salacious stories from a queer life",306.7663
"We have always been here a queer Muslim memoir",306.7663
"Susie Sexperts lesbian sex world",306.7663
"Hiding out a memoir of drugs deception and double lives",306.7663
"Things no longer there a memoir of losing sight and finding vision",306.7663
"After midnight true lesbian confessions",306.7663
"Her neighbors wife a history of lesbian desire within marriage",306.7663
"Rust belt femme",306.7663
"This is what lesbian looks like dyke activists take on the 21st century",306.7663
"Ask a queer chick a guide to sex love and life for girls who dig girls",306.7663
"Lesbians over 60 speak for themselves",306.7663
"lesbian history sourcebook love and sex between women in Britain from 1780 to 1970",306.7663
"Lesbian lists a look at lesbian culture history and personalities",306.7663
"Homophobia a weapon of sexism",306.7663
"life and times of butch dykes portraits of artists leaders and dreamers who changed the world",306.7663
"Red rock baby candy",306.7663
"In search of pure lust a memoir",306.7663
"Same sex in the city so your Prince Charming is really a Cinderella",306.7663
"Honeypot black Southern women who love women",306.7663
"Sex lies and stereotypes",306.7663
"We walk alone",306.7663
"To believe in women what lesbians have done for America a history",306.7663
"Womanwoman attitudes toward lesbianism",306.7663
"Early embraces III more true life stories of women describing their first lesbian experience",306.7663
"Dykes to watch out for",306.7663
"Black Queer Southern Women an oral history",306.7663
"Enjoy me among my ruins",306.7663
"Black lesbian in white America",306.7663
"secret diaries of Miss Anne Lister 1791 1840",306.7663
"Information activism a queer history of lesbian media technologies",306.7663
"100 crushes",306.7663
"good the bad and the gorgeous popular cultures romance with lesbianism",306.7663
"2000s made me gay essays on pop culture",306.7663
"Is it a date or just coffee the gay girls guide to dating sex and romance",306.7663
"Lipstick and Dipsticks essential guide to lesbian relationships",306.7663
"Odd girls and twilight lovers a history of lesbian life in twentieth century America",306.7663
aggressives,306.7663
"lesbian almanac",306.7663
"Making the rounds defying norms in love and medicine",306.7663
"Would you rather a memoir of growing up and coming out",306.7663
"We too must love",306.7663
"Edie Thea a very long engagement",306.7663
"two spirit journey the autobiography of a lesbian Ojibwa Cree elder",306.7663
"New improved Dykes to watch out for",306.7663
"Sex and sensibility stories of a lesbian generation",306.7663
"Different daughters a history of the Daughters of Bilitis and the rise of the lesbian rights movement",306.7663
"Thinking class sketches from a cultural worker",306.7663
"Under this beautiful dome a senator a journalist and the politics of gay love in America",306.7663
"Staying power long term lesbian couples",306.7663
"Bi lives bisexual women tell their stories",306.7663
"Funny gyal my fight against homophobia in Jamaica",306.7663
"Riding fury home a memoir",306.7663
"Early embraces true life stories of women describing their first lesbian experience",306.7663
"Im a wild seed",306.7663
"Political animals",306.7663
"Lives of lesbian elders looking back looking forward",306.7663
"What the mouth wants a memoir of food love and belonging",306.7663
"Spawn of dykes to watch out for",306.7663
"Cease a memoir of love loss and desire",306.7663
"Tomboyland essays",306.7663
"L life extraordinary lesbians making a difference",306.7663
"Persistence all ways butch and femme",306.7663
"Ma and me a memoir",306.7663
"Early embraces II more true life stories of women describing their first lesbian experience",306.7663
"Diary of a misfit a memoir and a mystery",306.7663
"year straight confessions of a boy crazy lesbian beauty queen",306.7663
"Eating fire my life as a Lesbian Avenger",306.7663
"Post dykes to watch out for",306.7663
"My butch career a memoir",306.7663
"Invisible lives the truth about millions of women loving women",306.7663
"daring life and dangerous times of Eve Adams",306.7663
"Revenge of the paste eaters memoirs of a misfit",306.7663
Flocks,306.7663
"Lesbian couples a guide to creating healthy relationships",306.7663
"On intimate terms the psychology of difference in lesbian relationships",306.7663
"army of ex lovers my life at the Gay community news",306.7663
"disappearing L erasure of lesbian spaces and culture",306.7663
"Nightlight a memoir",306.7663
"restricted country",306.7663
"Love always partners of trans people on intimacy challenge and resilience",306.768
"Trans care",306.768
"Burning butch a memoir",306.768
"It never goes away gender transition at a mature age",306.768
"We both laughed in pleasure the selected diaries of Lou Sullivan 1961 1991",306.768
"transgender issue trans justice is justice for all",306.768
"Trans love sex romance and being you",306.768
"Hes always been my son a mothers story about raising her transgender son",306.768
"To my trans sisters",306.768
"I have always been me a memoir",306.768
"Trans portraits voices from transgender communities",306.768
"Trans allyship workbook building skills to support trans people in our lives",306.768
"Trans bodies trans selves a resource for the transgender community",306.768
"Person centred counselling for trans and gender diverse people a practical guide",306.768
"Fractal stories across the gender spectrum",306.768
"Trans kin a guide for family friends of transgender people",306.768
"transgender studies reader 2",306.768
"When Harry became Sally responding to the transgender moment",306.768
"Glimmerings trans elders tell their stories",306.768
"Prodigal sons",306.768
"Being transgender",306.768
"Jack Yaya",306.768
"As a woman what I learned about power sex and the patriarchy after I transitioned",306.768
"In their shoes navigating non binary life",306.768
"Finding masculinity female to male transition in adulthood",306.768
"Surpassing certainty what my twenties taught me",306.768
"Self made man autobiography of a black transgender man Book 1",306.768
"Growing up Coy",306.768
"trans generation how trans kids and their parents are creating a gender revolution",306.768
"Trans bodies trans selves a resource by and for transgender communities",306.768
"Identifying as transgender",306.768
"Transgressive a trans woman on gender feminism and politics",306.768
"Supporting trans people in libraries",306.768
Transfigurations,306.768
"Trans teen survival guide",306.768
"No ordinary man",306.768
"transgender studies reader",306.768
"Transgender 101 a simple guide to a complex issue",306.768
"Coming out as transgender",306.768
"Beyond magenta transgender teens speak out",306.768
"Feeling wrong in your own body understanding what it means to be transgender",306.768
"Irreversible damage the transgender craze seducing our daughters",306.768
"True sex the lives of trans men at the turn of the twentieth century",306.768
"Can I tell you about gender diversity a guide for friends family and professionals",306.768
"Let Harry become Sally responding to the anti transgender moment",306.768
"Trans a quick and quirky account of gender variability",306.768
Transformer,306.768
"Transgender rights and protections",306.768
"Spectrums autistic transgender people in their own words",306.768
"Letters for my sisters transitional wisdom in retrospect",306.768
"Trans love radical sex love and relationships beyond the gender binary",306.768
"Paul wears dresses",306.768
"hidden case of Ewan Forbes and the unwritten history of the trans experience",306.768
"Meet Polkadot",306.768
"Transgender history",306.768
"Trans homo gasp gay FTM and cis men on sex and love",306.768
"Trans love an anthology of transgender and non binary voices",306.768
"Transgender Marxism",306.768
"Transitioning together one couples journey of gender and identity discovery",306.768
"beginners guide to being a trans ally",306.768
"Sex changes a memoir of marriage gender and moving on",306.768
"gender quest workbook a guide for teens young adults exploring gender identity",306.768
"Transgender role models and pioneers",306.768
"Decolonizing trans gender 101",306.768
"Middle sexes redefining he and she",306.768
"Transphobia deal with it and be a gender transcender",306.768
"Side affects on being trans and feeling bad",306.768
"Genderqueer and other gender identities",306.768
"Who are you the kids guide to gender identity",306.768
"Happier as a woman transforming friendships transforming lives",306.768
"Smashing the stereotypes what does it mean to be gay lesbian bisexual or transgender",306.768
"Phoenix goes to school a story to support transgender and gender diverse children",306.768
"Red without blue",306.768
"Youre in the wrong bathroom and 20 other myths and misconceptions about transgender and gender nonconforming people",306.768
"Testo junkie sex drugs and biopolitics in the pharmacopornographic era",306.768
"Written on the body letters from trans and non binary survivors of sexual assault and domestic violence",306.768
"Truly Willa",306.768
"Sorted growing up coming out and finding my place a transgender memoir",306.768
"Doll parts a memoir",306.768
"Terrorizing gender transgender visibility and the surveillance practices of the U S security state",306.768
"Transgender history the roots of todays revolution",306.768
"Venus boyz",306.768
"Trans gender and race in an age of unsettled identities",306.768
"Transgender children and youth cultivating pride and joy with families in transition",306.768
"Detransition beyond before and after",306.768
"Life beyond my body a transgender journey to manhood in China",306.768
"My transgender life",306.768
"Real boy",306.768
"Everything you ever wanted to know about trans but were afraid to ask",306.768
"Gender hurts a feminist analysis of the politics of transgenderism",306.768
"Whats the T",306.768
"Self made woman a memoir",306.768
"Death threat",306.768
"Trans voices becoming who you are",306.768
"Transgender rights and issues",306.768
"This one looks like a boy my gender journey to life as a man",306.768
"Once a girl always a boy a family memoir of a transgender journey",306.768
"Trans like me conversations for all of us",306.768
"Uncomfortable labels my life as a gay autistic trans woman",306.768
"Outspoken a decade of transgender activism trans feminism",306.768
"Mobile subjects transnational imaginaries of gender reassignment",306.768
"Sylvia and Marsha start a revolution the story of the trans women of color who made LGBTQ history",306.768
"Two spirits one heart a mother her transgender son and their journey to love and acceptance",306.768
"Non binary lives an anthology of intersecting identities",306.768
"Unbound transgender men and the remaking of identity",306.768
"transgender guidebook keys to a successful transition",306.768
Psychopomps,306.768
"Gender outlaws the next generation",306.768
"Redefining realness my path to womanhood identity love so much more",306.768
"Gender queer a memoir",306.768
"Queer sex a trans and non binary guide to intimacy pleasure and relationships",306.768
"Original plumbing the best of ten years of trans male culture",306.76805
"transgender child a handbook for families and professionals",306.76808
"Histories of the transgender child",306.76808
"Trans a memoir",306.76808
"transgender child a handbook for parents and professionals supporting transgender and nonbinary children",306.76808
"How to be a girl a mothers memoir of raising her transgender daughter",306.76808
"Trans kids being gendered in the twenty first century",306.76808
"Wheres MY book a guide for transgender and gender non conforming youth their parents everyone else",306.76808
"Growing older as a trans and or non binary person a support guide",306.76808
"Growing up trans in our own words",306.76808
"Trans kids and teens pride joy and families in transition",306.76808
"Hiding in plain sight",306.76808
"Rethinking normal a memoir in transition",306.76808
"Before I had the words on being a transgender young adult",306.76808
"Some assembly required the not so secret life of a transgender teen",306.76808
"Born on the edge of race and gender a voice for cultural competency",306.76808
"transgender child",306.76808
"transgender teen a handbook for parents and professionals supporting transgender and non binary teens",306.76808
"At the broken places a mother and trans son pick up the pieces",306.76808
"Tomboy survival guide",306.76809
"Sex is as sex does governing transgender identity",306.76809
"Tomorrow will be different love loss and the fight for trans equality",306.76809
"Born ready the true story of a boy named Penelope",306.76809
"Bordered lives transgender portraits from Mexico",306.76809
"Mala mala",306.76809
"Out of the ordinary a life of gender and spiritual transitions",306.76809
"Getting back to me from girl to boy to woman in just fifty years",306.76809
"Spellbound a graphic memoir",306.76809
"Among the eunuchs a Muslim transgender journey",306.76809
"Wheres the mother stories from a transgender dad",306.76809
"Pass with care memoirs",306.76809
"More than just a flag",306.76809
"Female husbands a trans history",306.76809
"Laverne Cox",306.76809
"Gender euphoria stories of joy from trans non binary and intersex writers",306.76809
"Before we were trans a new history of gender",306.76809
"Black on both sides a racial history of trans identity",306.76809
"Captive genders trans embodiment and the prison industrial complex",306.76809
"Girl transcending",306.76809
"year without a name",306.76809
"Dancing the dialectic true tales of a transgender trailblazer",306.76809
"new girl a trans girl tells it like it is",306.76809
"Exile and pride disability queerness and liberation",306.76809
"Rebent sinner",306.76809
