distinct_bib,subject
1896361,"Lesbians New York State New York Psychology"
1896361,"Lesbians Psychology"
1896405,"Lesbian couples"
1896405,"Lesbians Minnesota Minneapolis Biography"
1896690,"Lesbian anthropologists Biography"
1897028,"Gay actors United States Biography"
1897030,"Homosexuality Drama"
1897619,"Lesbians Fiction"
1897895,"Gays United States History"
1897895,"Homosexuality United States History"
1898467,"Lesbians Sexual behavior Fiction"
1898467,"Lesbians writings American"
1898517,"Gay men Biography"
1898650,"Homosexuality and literature"
1899283,"Gay men in literature"
1899283,"Lesbians in literature"
1901433,"Gay men United States Biography"
1901478,"Lesbians Fiction"
1901698,"Lesbians Fiction"
1902223,"United States Navy Gays Fiction"
1902745,"Homosexuality and literature United States History 20th century"
1904750,"Jewish gays Germany Berlin Biography"
1904751,"Homosexuality in art"
1904799,"Bisexual women United States Biography"
1904799,"Lesbians United States Biography"
1904807,"Gay liberation movement United States"
1904836,"Lesbians Minnesota Minneapolis Metropolitan Area Fiction"
1905220,"Homosexuality Fiction"
1906157,"Lesbianism India Drama"
1907036,"Homosexuality Fiction"
1907044,"Homosexuality Fiction"
1907284,"Gay men Oregon Fiction"
1907284,"Lesbians Oregon Fiction"
1907372,"Lesbian mothers Legal status laws etc United States Case studies"
1907372,"Lesbian mothers United States Biography"
1907832,"Gay consumers United States Handbooks manuals etc"
1907832,"Lesbian consumers United States Handbooks manuals etc"
1908352,"African American gays Mississippi History 20th century"
1908352,"Gay men Mississippi History 20th century"
1908352,"Gays in popular culture Mississippi"
1908352,"Rural gay men Mississippi History 20th century"
1909015,"Gay liberation movement United States History"
1909015,"Gay rights United States History"
1909015,"Homosexuality United States"
1909017,"Gays Legal status laws etc United States"
1909017,"Homosexuality Law and legislation United States"
1909017,"Lesbians Legal status laws etc United States"
1909114,"Gay rights United States"
1909114,"Gays United States Identity"
1909274,"Gay youth New York State New York"
1909274,"Lesbian youth New York State New York"
1909749,"Helms Jesse Views on homosexuality"
1909749,"Homosexuality United States"
1910872,"Gay men United States Biography"
1911101,"Gay men United States Biography"
1911323,"Lesbian couples Oregon Fiction"
1911323,"Lesbians Oregon Fiction"
1911324,"Gay journalists Minnesota Minneapolis Fiction"
1911804,"Gay men History"
1911804,"Gays History"
1911804,"Homosexuality History"
1911804,"Lesbians History"
1911928,"Gay dramatists Great Britain History 19th century Drama"
1911928,"Gay men Great Britain History 19th century Drama"
1912119,"Gay men New York State New York Biography"
1913148,"Gay men Drama"
1913148,"Homosexuality Drama"
1913183,"Gay men New York State New York Fiction"
1913183,"Gay men Relations with heterosexual women Fiction"
1915022,"Lesbian vampires Fiction"
1915022,"Lesbians Fiction"
1915022,"Lesbians writings American"
1916507,"Lesbians Fiction"
1916559,"Lesbians Poetry"
1916966,"Lesbians Fiction"
1917049,"Gay men Sexual behavior Fiction"
1917050,"Gay men Fiction"
1917057,"Gay men Fiction"
1917062,"Bisexual women California San Francisco Fiction"
1917063,"Gay men Fiction"
1917072,"Gay men New York State Albany Fiction"
1917074,"Gay men Fiction"
1917074,"Gays writings American"
1917074,"Lesbians Fiction"
1917082,"Lesbians Fiction"
1917085,"Gay men Fiction"
1917088,"Gay men Canada Fiction"
1917088,"Gays writings Canadian"
1917088,"Lesbians Canada Fiction"
1917091,"Gay men Sexual behavior Fiction"
1919022,"African American gays"
1919635,"Lesbians Fiction"
1919953,"Gay men"
1919953,"Gays Identity"
1919953,"Homosexuality Male"
1919953,"Male homosexuality"
1919959,"Lesbianism United States"
1919959,"Lesbians United States"
1920139,"Lesbians Fiction"
1920258,"Lesbians Biography"
1920503,"African American lesbians Biography"
1920601,"Gay men Fiction"
1920601,"Gay youth Family relationships Fiction"
1921071,"Gay college teachers California Los Angeles Fiction"
1921071,"Gay students California Los Angeles Fiction"
1921783,"Homosexuality and literature England History 19th century"
1921784,"Lesbianism in art"
1921784,"Lesbianism in literature"
1921825,"Gay men United States Poetry"
1921825,"Gays Identity Poetry"
1921825,"Hispanic American gays Poetry"
1922275,"Lesbians Fiction"
1923668,"Gay men Diseases"
1923921,"Gay men Poetry"
1924027,"Gay mens writings American History and criticism Theory etc"
1924027,"Homosexuality and literature United States History 20th century"
1924786,"Gay men and musicals"
1925347,"Lesbianism Encyclopedias"
1925347,"Lesbians Encyclopedias"
1925509,"Lesbians United States Political activity"
1925616,"Gay men Australia Fiction"
1925825,"Gay men"
1925825,"Homosexuality Male"
1925825,"Male homosexuality"
1926433,"Gay men Islamic countries Sexual behavior"
1926433,"Homosexuality Male Islamic countries"
1927280,"Gay men United States Fiction"
1928356,"Gay couples California San Francisco"
1928356,"Gays California San Francisco Family relationships"
1928356,"Gays Family relationships California San Francisco"
1928372,"Homosexuality and motion pictures"
1928464,"Gay men in art"
1929823,"Christian gays"
1929823,"Homosexuality Religious aspects Christianity"
1931867,"Gay men Israel Biography"
1932228,"Gays United States Biography"
1932228,"Homosexuality Religious aspects Christianity"
1932391,"Lesbian mothers Biography"
1932391,"Lesbians France Biography"
1932391,"Lesbians United States Biography"
1932402,"Lesbians New York State New York Fiction"
1932580,"Lesbians United States Drama"
1933528,"Gay actors New York State New York Fiction"
1933528,"Gay men New York State New York Fiction"
1935322,"Gay liberation movement History Dictionaries"
1935659,"Gays Legal status laws etc United States"
1935659,"Homosexuality Law and legislation United States"
1935659,"Lesbians Legal status laws etc United States"
1935910,"Gay couples United States Biography"
1935910,"Gay male couples United States Biography"
1935939,"Lesbians in literature"
1935939,"Lesbians writings Canadian History and criticism"
1935944,"Homosexuality and literature England History 18th century"
1935944,"Homosexuality and literature France History 18th century"
1935944,"Lesbianism England History 18th century"
1935944,"Lesbianism France History 18th century"
1935944,"Lesbians in literature"
1937969,"Gay couples Attitudes"
1937969,"Gay male couples Attitudes"
1937969,"Parents of gays Attitudes"
1938038,"Gay men United States Fiction"
1938218,"Gay communities"
1938218,"Gay community"
1938218,"Gays Family relationships"
1938218,"Parents of gays"
1938768,"Gay teenagers"
1939571,"Lesbians Fiction"
1939684,"Gay consumers United States"
1939684,"Gay liberation movement United States"
1939684,"Lesbian consumers United States"
1939697,"Homosexuality Religious aspects Christianity Congresses"
1939814,"Gay men Conduct of life"
1939814,"Gay men Religious life"
1939827,Gays
1939832,"Gay accommodations South Africa Guidebooks"
1939832,"Gays Travel South Africa Guidebooks"
1939959,"Gay teenagers United States"
1940164,"Lesbian artists United States Biography"
1940331,"Gay men Fiction"
1940347,"Lesbians United States Fiction"
1940476,"Gays Massachusetts Boston"
1941658,"Gay erotic literature"
1941658,"Gay men Sexual behavior Literary collections"
1941658,"Gays writings American"
1942639,"Gay men in literature"
1942639,"Gays writings American History and criticism"
1942639,"Gays writings English History and criticism"
1942639,"Homosexuality and literature Great Britain History 20th century"
1942639,"Homosexuality and literature United States History 20th century"
1942639,"Lesbians in literature"
1942711,"Lesbians Fiction"
1942715,"Gay men Fiction"
1943115,"Lesbians Fiction"
1943776,"Gays in popular culture Islamic countries"
1943776,"Homosexuality Islamic countries"
1943776,"Homosexuality Islamic countries History"
1943776,"Homosexuality Male Islamic countries"
1943776,"Male homosexuality Islamic countries"
1944049,"Gay musicians United States"
1944163,"Lesbians Fiction"
1944480,"Gay couples United States"
1944588,"Gay men Fiction"
1945540,"Gay men in literature"
1945540,"Homosexuality and literature Great Britain History 18th century"
1945540,"Homosexuality and literature Great Britain History 19th century"
1945540,"Lesbians in literature"
1945551,"Homosexuality and literature United States"
1945551,"Lesbians writings American History and criticism"
1945814,"Gay men Fiction"
1945815,"Homosexuality Fiction"
1945817,"Gay youth Fiction"
1945819,"Gay bars Fiction"
1945820,"Lesbians Fiction"
1945821,"Lesbians Fiction"
1945822,"Lesbians Fiction"
1945823,"Lesbians Fiction"
1945824,"Lesbians Fiction"
1945826,"Lesbians Fiction"
1945832,"Lesbians United States Fiction"
1945833,"Jewish lesbians Fiction"
1945834,"African American lesbians Fiction"
1945834,"Lesbians United States Fiction"
1945835,"Lesbians Fiction"
1945836,"Lesbians Fiction"
1945837,"Lesbians Fiction"
1945838,"Lesbians Sexual behavior Fiction"
1945838,"Lesbians writings American"
1945840,"Lesbians Fiction"
1945902,"Gay men Drama"
1946920,"Gay teenagers Indiana Fiction"
1946948,"Bisexual students Florida Interviews"
1946948,"Gay students Florida Interviews"
1946948,"Lesbian students Florida Interviews"
1946985,"Lesbians Social networks"
1947002,"Gay couples"
1949034,"Lesbians Humor"
1949696,"Homosexuality Male Great Britain History 16th century"
1949696,"Homosexuality Male Great Britain History 17th century"
1949696,"Homosexuality Male Scotland History"
1949696,"Male homosexuality Great Britain History 16th century"
1949696,"Male homosexuality Great Britain History 17th century"
1949696,"Male homosexuality Scotland History"
1949893,"Gay men Fiction"
1950125,"Lesbians Fiction"
1950152,"Lesbians Fiction"
1951181,"Gay coaches Athletics United States Biography"
1951445,"Gay men New York State New York Fiction"
1951474,"Gays Fiction"
1951476,"Lesbians Fiction"
1953399,"Gay men Fiction"
1953655,"Gay men United States Family relationships"
1953770,"Lesbians Sexual behavior"
1954307,"Gay men Drama"
1954385,"Gay men Fiction"
1955294,"Lesbians Fiction"
1955819,"Homosexuality Religious aspects Catholic Church"
1956857,"Homosexuality Male Moral and religeous aspects"
1956857,"Homosexuality Religious aspects"
1956857,"Male homosexuality Moral and religeous aspects"
1956909,"Lesbianism in motion pictures"
1957020,"Gays in popular culture"
1957020,"Homosexuality in literature"
1957020,"Homosexuality Philosophy"
1957020,"Homosexuality Political aspects"
1957021,"Gay men United States Life skills guides"
1957029,"Middle aged gay men United States Attitudes"
1957029,"Middle aged gay men United States Psychology"
1957029,"Middle aged gay men United States Social conditions"
1957184,"Lesbians Great Britain Biography"
1957203,"Gay men Health and hygiene"
1957203,"Gay men Mental health"
1957203,"Gay men Sexual behavior"
1957204,"Gays United States"
1957204,"Homosexuality United States"
1957204,"Lesbianism United States"
1957204,"Lesbians United States"
1957205,"Gay adoption United States"
1957205,"Gay fathers United States"
1957205,"Gay men United States Family relationships"
1957205,"Lesbian mothers United States"
1957205,"Lesbians United States Family relationships"
1957206,"Gay men Family relationships Psychological aspects"
1957206,"Homosexuality Male Psychological aspects"
1957206,"Parents of gays Psychology"
1957206,"Psychoanalysis and homosexuality"
1957207,"Gay men"
1957207,"Gay men Humor"
1957207,"Gay men Social life and customs 20th century"
1957207,"Homosexuality Male"
1957207,"Male homosexuality"
1957208,"Children of gay parents United States"
1957208,"Lesbian couples United States"
1957208,"Lesbian mothers United States"
1957208,"Middle aged lesbians United States Family relationships"
1957209,"Rural lesbians Oregon Myrtle Creek Biography"
1957210,"Gay fathers Counseling of United States"
1957210,"Gay fathers United States"
1957212,"Gay men Fiction"
1957213,"Gay men"
1957214,"Lesbian couples United States"
1957214,"Lesbians United States Life skills guides"
1957546,Gays
1957546,Homosexuality
1957625,"Lesbians Fiction"
1957651,"Gay youth Fiction"
1957659,"Gay youth Fiction"
1958712,"Balliet Gay Louis 1952"
1958983,"Lesbians Attitudes"
1958984,"Middle aged lesbians Middle West"
1959782,"Gays New York State New York Fiction"
1959791,"Gay men Fiction"
1959857,"Homosexuality and education United States"
1959894,"Homosexuality Fiction"
1959894,"Lesbians Fiction"
1960114,"Lesbians Sexual behavior Fiction"
1960225,"Gay men Medical care"
1960262,"Gay men Australia Drama"
1960953,"Gay men Sexual behavior Fiction"
1961309,"Lesbians Sexual behavior Fiction"
1963022,"Gays United States Quotations"
1963022,"Homosexuality United States Quotations maxims etc"
1963051,"Lesbians Fiction"
1963224,"Gay men Fiction"
1965196,"Gays Mexico Oaxaca de JuÃ‚Â rez"
1966086,"Homosexuality United States"
1966086,"Lesbians United States Biography"
1966086,"Lesbians United States Family relationships Case studies"
1966086,"Parents of gays United States Biography"
1967332,"Lesbian artists United States"
1967332,"Lesbianism in art"
1967369,"Bisexual parents Family relationships United States"
1967369,"Bisexual parents United States Family relationships"
1967369,"Children of gay parents United States"
1967369,"Gay fathers Family relationships United States"
1967369,"Gay fathers United States Family relationships"
1967369,"Lesbian mothers Family relationships United States"
1967369,"Lesbian mothers United States Family relationships"
1967374,"Gay and lesbian studies Bibliography"
1967374,"Gay and lesbian studies Handbooks manuals etc"
1967416,"Lesbians in literature"
1967416,"Lesbians United States Interviews"
1967416,"Mexican American lesbians Interviews"
1967439,"Gay anthropologists Africa Biography"
1967439,"Gay anthropologists United States Biography"
1967598,"Gays Fiction"
1968131,"Homosexuality and literature Japan"
1968131,"Homosexuality in literature"
1968131,"Homosexuality Japan History"
1969462,"Gays Religious life"
1969525,"Gay men Texas Drama"
1969593,"Gays Identity"
1969594,"Gay men Thailand"
1969594,"Homosexuality Thailand"
1969594,"Lesbians Thailand"
1969824,"Homosexuality on radio United States"
1969824,"Homosexuality on television United States"
1969979,"Children of gay parents United States"
1969979,"Gay fathers United States"
1969979,"Gay parents United States"
1969979,"Lesbian mothers United States"
1969980,"Gay men Fiction"
1969980,"Gay mens writings American"
1971662,"Gay men New York State New York Fiction"
1972149,"Gays Southern States History"
1972149,"Homosexuality Southern States History"
1972150,"Gay men Great Britain Biography"
1972150,"Homosexuality Male Great Britain History 20th century"
1972150,"Male homosexuality Great Britain History 20th century"
1972151,"Bisexuality in art Encyclopedias"
1972151,"Bisexuality Mythology Dictionaries"
1972151,"Bisexuality Religious aspects Dictionaries"
1972151,"Homosexuality in art Encyclopedias"
1972151,"Homosexuality Mythology Encyclopedias"
1972151,"Homosexuality Religious aspects Encyclopedias"
1972151,"Lesbianism Mythology Encyclopedias"
1972151,"Lesbianism Religious aspects Encyclopedias"
1973323,"Gay men Fiction"
1974157,"Christian gays Mental health"
1974157,"Christian gays Religious life"
1974157,"Homosexuality Religious aspects Christianity"
1975138,"Gay liberation movement United States History"
1975138,"Gay rights United States History"
1975138,"Gays Government policy United States History"
1975139,"Gay men Crimes against Wyoming Laramie"
1975432,"Homosexuality History"
1976145,"Gays writings American"
1976145,"Gays writings Canadian"
1976161,"Lesbians Fiction"
1976613,"African American gays Fiction"
1976899,"Lesbians Fiction"
1976902,"Lesbians Maine Fiction"
1977337,"Lesbians Identity Fiction"
1977502,"Homosexuality United States"
1977831,"Lesbians Fiction"
1978252,"Gay men Fiction"
1978446,"Homosexuality United States"
1978507,"Lesbian actresses United States Biography"
1979222,"Gays Drama"
1979223,"Gay men California Los Angeles Drama"
1979267,"Homosexuality Southern States"
1981016,"Lesbians United States Fiction"
1981016,"Lesbians writings American"
1981485,"Gay actors United States Biography"
1982712,"Gay men North America Biography"
1982712,"Gay men North America Fiction"
1982712,"Homosexuality Religious aspects Judaism"
1982712,"Homosexuality Religious aspects Judaism Fiction"
1982712,"Jewish gays North America Biography"
1982712,"Jewish gays North America Fiction"
1983004,"Gay men Humor"
1983004,"Gay wit and humor"
1983004,"Homosexuality Humor"
1983887,"Gay Matilda 1855"
1983887,"Gay Matilda b 1855"
1983887,"Gay Walter 1856 1937"
1983966,"Gay men Fiction"
1985962,"Older gay men New York State New York Case studies"
1985962,"Older lesbians New York State New York Case studies"
1986017,"Gay youth Fiction"
1986020,"Gay men Fiction"
1987342,"Children of gay parents Juvenile literature"
1987342,"Gay fathers Fiction"
1987342,"Homosexuality Fiction"
1987342,"Homosexuality Juvenile literature"
1987468,"Gay men United States Biography"
1987479,"Gay motion picture producers and directors"
1987479,"Homosexuality and motion pictures"
1987479,"Homosexuality in motion pictures"
1988532,"Gay accommodations Canada Maps"
1988532,"Gay accommodations United States Maps"
1988532,"Gay bars Canada Maps"
1988532,"Gay bars United States Maps"
1988833,"Lesbian teenagers Fiction"
1988876,"Gay men Clothing"
1990558,"Lesbians Fiction"
1990558,"Lesbians Juvenile fiction"
1992158,"Lesbians Fiction"
1992170,"Homosexuality United States"
1993960,"Gay men Fiction"
1994109,"Lesbians Health and hygiene"
1994444,"Lesbian teenagers Fiction"
1994564,"Children of gay parents Family relationships United States"
1994564,"Children of gay parents United States Family relationships"
1994564,"Lesbian mothers Family relationships United States"
1994564,"Lesbian mothers United States Family relationships"
1996365,"Gaye Marvin"
1996801,"Lesbians Humor"
1996847,"Gay men Drama"
1997181,"Lesbians Drama"
1997213,"Lesbians Fiction"
1997341,"Lesbian mothers Fiction"
1997786,"Gays Portraits"
1998062,"African American gays Fiction"
1998062,"Gay men Fiction"
1998236,"Gay men United States Biography"
1998966,"Lesbian feminism United States"
1998966,"Lesbians United States Interviews"
1998966,"Lesbians United States Social conditions"
2001558,"Gay adoption United States"
2001651,"Gays Family relationships"
2001651,"Parents of gays"
2001667,"Gay youth"
2001667,"Gays writings"
2001833,"Homosexuality Biblical teaching"
2002742,"Lesbianism Psychological aspects Anecdotes"
2002742,"Lesbians Mental health services"
2002742,"Lesbians Psychology"
2002842,"Gay clergy Great Britain Biography"
2003073,"Gay youth Fiction"
2003104,"Gays United States"
2003104,"Lesbian anthropologists United States Biography"
2003104,"Lesbian feminism United States"
2003104,"Lesbians United States"
2005560,"Gay men Fiction"
2005722,"Gay youth Drama"
2009482,"Lesbians Drama"
2012079,"Lesbians Mexico Drama"
2020516,"Gays North America Identity"
2020516,"Indian gays North America Social conditions"
2020516,"Indian lesbians North America Social conditions"
2020516,"Lesbians North America Identity"
2020574,"Gay men Travel Europe Guidebooks"
2020574,"Lesbians Travel Europe Guidebooks"
2020825,"Lesbians Canada Fiction"
2020856,"Homosexuality Religious aspects Fiction"
2020865,"Lesbians Fiction"
2021712,"Gay men Drama"
2022749,"Gay men in literature Bibliography"
2022749,"Gays in literature Bibliography"
2022749,"Homosexuality and literature United States Bibliography"
2022749,"Lesbians in literature Bibliography"
2022782,"Middle aged gay men Attitudes"
2022782,"Middle aged gay men Mortality"
2022782,"Middle aged gay men Psychology"
2022945,"Gay men in literature"
2022945,"Gay men United States Interviews"
2022945,"Gay mens writings American History and criticism Theory etc"
2022945,"Homosexuality and literature United States History 20th century"
2023117,"Gay men United States Biography"
2023173,"Gay liberation movement History"
2023173,"Gay liberation movement History Juvenile literature"
2023173,"Gay liberation movement United States History Juvenile literature"
2023173,"Gay rights History"
2023173,"Gay rights History Juvenile literature"
2023173,"Gay rights United States History Juvenile literature"
2023173,Homosexuality
2023173,"Homosexuality Juvenile literature"
2024839,"Gay youth Juvenile literature"
2024839,Homosexuality
2024839,"Homosexuality Juvenile literature"
2025669,"Gay men Drama"
2026372,"Gay men United States Biography"
2026441,"Lesbians Fiction"
2026839,"African American gays"
2026839,"Homosexuality Africa"
2026840,"Gay rights United States"
2026840,"Homosexuality Political aspects United States"
2026840,"Lesbianism Political aspects United States"
2026841,"Gay rights Oregon"
2026841,"Gays Oregon"
2026841,"Homosexuality Oregon"
2026841,"Homosexuality Religious aspects"
2027055,"Lesbianism in literature"
2027055,"Lesbians in literature"
2027055,"Lesbians writings American History and criticism"
2027055,"Lesbians writings English History and criticism"
2027527,"Homosexuality Fiction"
2028058,"Gay men United States Biography"
2028058,"Gay youth United States Case studies"
2028058,"Gays Identity"
2028554,"Gay men Fiction"
2030112,"Children of gay parents Fiction"
2030225,"Homosexuality Male Cross cultural studies"
2030225,"Lesbianism Cross cultural studies"
2030225,"Male homosexuality Cross cultural studies"
2030548,"Gay teenagers Fiction"
2030914,"Gay men Life skills guides"
2030914,"Gay men Psychology"
2030914,"Lesbians Life skills guides"
2030914,"Lesbians Psychology"
2031088,"Gay men Fiction"
2031098,"Lesbians United States Fiction"
2031222,"Gay men Fiction"
2031233,"Lesbians Biography"
2031233,"Lesbians writings American"
2031492,"Lesbian couples Tennessee Memphis History 19th century"
2031492,"Lesbians in literature History 19th century"
2031533,"Gay men Fiction"
2031533,"Gay mens writings American"
2033649,"Gay men"
2033654,"Gay rights United States"
2035109,"Lesbians Fiction"
2035118,"Lesbians Fiction"
2035119,"Lesbians England West Yorkshire Fiction"
2035163,"Lesbians Fiction"
2035430,"Helms Jesse Views on gay men"
2035592,"Gays South Africa Biography"
2036120,"Gays Counseling of United States"
2036120,"Gays Substance use United States"
2036550,"Gay men Fiction"
2037599,"Lesbians Comic books strips etc"
2037861,"Gay men Fiction"
2037861,"Gay youth Fiction"
2037876,"Gay men Fiction"
2037876,"Gays writings American"
2037876,"Lesbians Fiction"
2039431,"Gay men Fiction"
2039431,"Gays writings American"
2039431,"Lesbians Fiction"
2039761,"Lesbians United States Biography"
2039761,"Rural lesbians United States Biography"
2039983,"African American gays Fiction"
2039983,"Gay youth Fiction"
2040019,"Gays Fiction"
2040876,"Gay clergy United States Biography"
2042053,"Lesbians Fiction"
2042411,"Gay men Fiction"
2042616,"African American lesbians"
2042616,"Lesbians Michigan Detroit"
2042786,"Gay couples United States Portraits"
2042786,"Gay male couples United States Portraits"
2042786,"Gay men United States Portraits"
2044323,"Gay men United States Biography"
2045416,"Hispanic American gays Drama"
2046133,"Norgay Jamling Tenzing"
2046149,"Bisexual college students United States Biography"
2046149,"Lesbian college students United States Biography"
2046205,"Gay men United States Family relationships"
2046208,"Gay youth Family relationships"
2046208,"Parents of gays"
2046311,"Gay men Fiction"
2046405,"Lesbians Fiction"
2046525,"Gay fathers Fiction"
2046525,"Homosexuality Fiction"
2046837,"Gay couples United States"
2046837,"Gays Social conditions"
2046837,"Homosexuality United States"
2048061,"Astrology and homosexuality"
2048061,"Gay couples Miscellanea"
2048061,"Gay male couples Miscellanea"
2048076,"Gays Travel United States Guidebooks"
2048518,"Gay men Fiction"
2048547,"Gay men Fiction"
2048689,"Lesbians Literary collections"
2048691,"Bisexual women Fiction"
2048820,"Church work with African American gays"
2048820,"Homosexuality Religious aspects Christianity"
2049359,"Gay men Correspondence"
2049991,"Lesbian athletes Drama"
2050269,"Gay couples Fiction"
2050269,"Gay male couples Fiction"
2050269,"Gay men Fiction"
2050356,"Homosexuality and literature History 20th century"
2050356,"Lesbians Great Britain Biography"
2050356,"Lesbians South Africa Biography"
2050402,"Children of gay parents Family relationships"
2050402,"Lesbian couples Family relationships"
2050402,"Lesbian mothers Family relationships"
2050768,"Lesbians Fiction"
2051124,"Gays Fiction"
2051316,"Gay men Poetry"
2051423,"Homosexuality Law and legislation United States History"
2051886,"Gay couples Psychological aspects"
2052042,"Gay men Fiction"
2052294,"Children of gay parents Fiction"
2052294,"Gay parents Fiction"
2052294,"Lesbian mothers Fiction"
2052329,"Lesbians Fiction"
2052338,"Lesbians Fiction"
2052348,"Gay men Fiction"
2052579,"Gays Fiction"
2052580,"Gay men Fiction"
2053401,"Gays United States Psychology"
2053401,"Lesbians United States Psychology"
2053533,"Gay men California Los Angeles Fiction"
2053541,"Gay youth Fiction"
2054060,"Lesbians Comic books strips etc"
2054142,"Gay rights United States"
2054142,"Gays Legal status laws etc United States"
2054206,"Gay men Alcohol use United States Case studies"
2054236,"Gay students Massachusetts"
2054236,"Homosexuality and education Massachusetts"
2054236,"Lesbian students Massachusetts"
2054236,"Massachusetts Safe Schools Program for Gay Lesbian Students"
2055718,"Lesbians Drama"
2055718,"Lesbians United States Social life and customs Drama"
2056186,"Lesbian teachers Fiction"
2056186,"Lesbians Fiction"
2057163,"Bisexuality Fiction"
2057277,"Gay liberation movement California San Francisco"
2057759,"Gay men Fiction"
2057761,"Lesbians Fiction"
2058060,"Gays Minnesota Saint Paul History"
2058060,"Homosexuality Minnesota Saint Paul History"
2058063,"African American gays"
2058360,"Gay men Drama"
2058360,"Gay men United States Drama"
2058482,"Gay men Fiction"
2058631,"Gays Mental health"
2058631,Homosexuality
2058631,"Psychoanalysis and homosexuality"
2059019,"Gays writings"
2059019,"Homosexuality Poetry"
2061402,"Bisexuals Counseling of"
2061402,"Bisexuals Mental health"
2061402,"Gays Counseling of"
2061402,"Gays Mental health"
2061421,"Gay men Great Britain Biography"
2061421,"Gay men New York State New York Biography"
2061432,"Gays Biography Dictionaries"
2061432,"Lesbians Biography Dictionaries"
2061433,"Gays Biography Dictionaries"
2061433,"Lesbians Biography Dictionaries"
2061461,"Gay men Fiction"
2061468,"Gay men Fiction"
2061469,"Gay men Fiction"
2061817,"Gays Travel Guidebooks"
2061818,"Gay men Travel Guidebooks"
2061819,"Lesbians Travel Guidebooks"
2061979,"Gay athletes United States"
2062090,"Stella fictitious character Gay Fiction"
2062090,"Stella Fictitious character Gay Juvenile fiction"
2062824,"Gay men Computer network resources"
2062884,"Gay men Fiction"
2062886,"Gay men Fiction"
2062886,"Gay police officers Fiction"
2063339,"Gay men Fiction"
2064257,"Gay men Fiction"
2064258,"Lesbians Fiction"
2064405,"Bisexuality Fiction"
2064405,"Homosexuality Fiction"
2064405,"Lesbians Fiction"
2064579,"Gay men Fiction"
2064912,"Gay men Texas Fiction"
2065100,"Gay men England Manchester Drama"
2065283,"Children of gays United States"
2065283,"Gay men United States Family relationships"
2065283,"Lesbians United States Family relationships"
2065283,"Parents of gays United States"
2065385,"Christian gays Religious life"
2065385,"Homosexuality Religious aspects Christianity"
2065516,"Gay men United States Fiction"
2065544,"Gay journalists Fiction"
2065833,"Gay men Fiction"
2066746,"Gay men Fiction"
2067081,"Lesbians United States Sexual behavior"
2067109,"Gay men Biography"
2067109,"Homosexuality Male"
2067109,"Male homosexuality"
2067172,"Lesbians Fiction"
2068312,"Gay men Southern States History 20th century"
2068312,"Lesbians Southern States History 20th century"
2068898,"Gay teenagers Fiction"
2068969,"Gay liberation movement United States History"
2068969,"Gay liberation movement Utah Salt Lake City History"
2068969,"Gay rights United States History"
2068969,"Gay rights Utah Salt Lake City History"
2069676,"Gay consumers United States"
2069676,"Gays in popular culture"
2069676,"Gays United States Identity"
2069676,"Homosexuality in motion pictures"
2069676,"Homosexuality on television"
2070515,"Lesbians Fiction"
2070526,"Homosexuality Fiction"
2070526,"Lesbians Fiction"
2071617,"Lesbians Drama"
2071636,"Gay men Fiction"
2072113,"Lesbians Florida Miami Fiction"
2072562,"Gays Cuba Drama"
2073381,"Gay men Fiction"
2074528,"Gay youth Fiction"
2075126,"Gay men Fiction"
2075908,"Lesbians Spain Biography"
2075955,"Gay youth Fiction"
2076513,"Gay men New York State New York Fiction"
2076608,"Gay motion picture actors and actresses United States Biography"
2076608,"Gay motion picture producers and directors United States Biography"
2077606,"Gay men Humor"
2077606,"Gay wit and humor"
2077606,"Homosexuality Humor"
2078132,"Gay couples United States History"
2078132,"Gay male couples United States History"
2078132,"Gay men Sexual behavior United States"
2078132,"Gay men United States Sexual behavior"
2078132,"Homosexuality Male United States History"
2078132,"Male homosexuality United States History"
2078318,"Homosexuality and music"
2078341,"Closeted gays United States"
2078341,"Gay men Biography"
2078341,"Gay men Employment United States"
2078484,"Church work with gays"
2078484,"Gays Religious life"
2078484,"Gays United States Biography"
2078484,"Homosexuality Religious aspects Christianity"
2078728,"Gays United States"
2078728,"Gays United States Identity"
2078728,"Gays writings American"
2079246,"Lesbians Fiction"
2079352,"Lesbians United States Biography"
2080545,"Gay men in literature"
2080545,"Gays in literature"
2080545,"Gays writings American History and criticism"
2080545,"Homosexuality and literature United States History 20th century"
2080545,"Lesbians in literature"
2080695,"Lesbians Fiction"
2081713,"Gay men Great Britain Biography"
2081714,"Gays Iowa Sioux City"
2081736,"Gay and lesbian studies"
2081736,"Gay military personnel"
2081736,"Gays in the military"
2081736,"Homosexuality History"
2081736,"United States Armed Forces Gays"
2081737,"Gays Computer network resources"
2081737,"Homosexuality Computer network resources"
2081739,"Gay erotic literature"
2081739,"Gay men Diaries"
2081739,"Gay men Sexual behavior"
2081779,"Gay men Fiction"
2081815,"Norgay Jamling Tenzing"
2082087,"Hansen Gaylen C 1921"
2082163,"Lesbianism Great Britain History Sources"
2082163,"Lesbians Great Britain History Sources"
2082814,"Gay actors California Los Angeles Interviews"
2082832,"Gay men Great Britain Biography"
2082952,"Gay men Fiction"
2083229,"Lesbians Fiction"
2083230,"Lesbians Alaska Fiction"
2083953,"Lesbians Fiction"
2083973,"Lesbians Fiction"
2084118,"Gay men Crimes against Drama"
2085227,"Gay men Fiction"
